athlete_id,skill_level,reaction_time,front_block_angle,rear_block_angle,front_knee_angle,rear_knee_angle,TBCG,RFmax,time_to_10m,time_to_20m,time_to_30m
1,Elite,0.151,45.6,57.9,100.5,122.3,41.9,0.63,1.55,2.8,3.78
2,Elite,0.149,54.3,58.9,98.0,138.8,45.4,0.6,1.5,2.8,3.78
3,Elite,0.122,51.0,63.5,94.6,132.6,48.7,0.56,1.5,2.8,3.82
4,Elite,0.14,49.0,58.2,102.2,126.7,47.3,0.56,1.82,2.96,3.84
5,Elite,0.143,42.3,56.7,100.3,122.8,48.1,0.62,1.5,2.99,3.86
6,Elite,0.144,42.3,60.6,92.4,135.9,46.6,0.59,1.5,2.91,3.84
7,Elite,0.155,40.9,64.4,103.7,132.4,46.9,0.57,1.5,2.86,3.84
8,Elite,0.152,53.0,62.0,102.3,130.7,48.5,0.6,1.5,2.8,3.78
9,Elite,0.156,49.0,60.7,104.2,137.9,42.5,0.56,1.5,2.8,3.8
10,Elite,0.166,50.6,56.0,100.9,135.8,44.9,0.61,1.75,2.97,3.8
11,Elite,0.169,40.3,61.2,99.2,123.0,42.2,0.58,1.52,2.97,3.79
12,Elite,0.163,54.5,64.9,96.3,126.2,49.9,0.63,1.68,2.8,3.73
13,Elite,0.177,52.5,56.4,104.0,125.0,49.4,0.58,1.5,2.8,3.8
14,Elite,0.121,43.2,60.2,103.0,134.9,40.4,0.6,1.5,2.94,3.84
15,Elite,0.132,42.7,63.8,90.7,120.7,47.1,0.55,1.5,2.8,3.82
16,Elite,0.12,42.8,62.4,90.4,131.4,49.3,0.56,1.5,2.94,3.87
17,Elite,0.159,44.6,62.0,95.6,135.2,41.8,0.59,1.71,2.8,3.78
18,Elite,0.174,47.9,62.0,102.2,137.5,45.7,0.6,1.5,2.8,3.79
19,Elite,0.135,46.5,58.6,104.8,126.8,49.2,0.61,1.8,2.91,3.86
20,Elite,0.176,44.4,57.9,92.3,136.4,40.3,0.58,1.61,2.87,3.78
21,Elite,0.124,49.2,63.1,98.9,122.2,47.0,0.62,1.61,2.8,3.79
22,Elite,0.176,42.1,63.1,95.7,136.9,43.0,0.64,1.5,2.85,3.77
23,Elite,0.141,44.4,63.7,104.5,122.5,49.2,0.63,1.61,2.8,3.82
24,Elite,0.126,45.5,64.1,102.6,127.9,49.7,0.55,1.78,2.8,3.86
25,Elite,0.149,46.8,60.1,102.6,135.9,49.4,0.6,1.72,2.8,3.85
26,Elite,0.135,51.8,60.0,97.0,123.0,44.7,0.56,1.66,2.8,3.78
27,Elite,0.137,43.0,63.0,96.2,124.6,48.6,0.57,1.5,2.84,3.84
28,Elite,0.138,47.7,61.5,94.1,134.4,48.4,0.65,1.5,2.93,3.81
29,Elite,0.168,48.9,62.0,90.8,134.4,43.2,0.56,1.5,2.8,3.75
30,Elite,0.152,40.7,63.0,103.0,132.8,48.3,0.6,1.51,2.88,3.86
31,Elite,0.139,49.1,63.9,102.2,133.9,40.4,0.61,1.54,2.8,3.76
32,Elite,0.157,42.6,58.4,105.0,130.9,46.0,0.62,1.5,2.9,3.84
33,Elite,0.163,41.0,58.8,104.9,125.0,42.3,0.61,1.55,2.97,3.81
34,Elite,0.136,54.2,55.9,98.3,126.9,41.2,0.55,1.54,2.8,3.78
35,Elite,0.145,54.5,60.8,101.5,123.6,40.8,0.58,1.53,2.84,3.72
36,Elite,0.127,52.1,55.4,104.2,138.2,47.0,0.6,1.76,2.8,3.86
37,Elite,0.131,44.6,59.7,102.7,131.7,43.4,0.56,1.64,2.8,3.85
38,Elite,0.161,41.5,60.4,93.7,128.0,47.2,0.59,1.54,2.8,3.82
39,Elite,0.131,50.3,57.9,96.8,129.2,40.7,0.55,1.5,2.8,3.79
40,Elite,0.152,46.6,60.9,91.9,138.9,43.2,0.56,1.75,2.8,3.8
41,Elite,0.163,41.8,55.3,104.3,123.1,45.4,0.59,1.68,2.8,3.85
42,Elite,0.126,47.4,55.4,99.1,131.7,47.9,0.56,1.5,2.95,3.89
43,Elite,0.154,40.5,63.2,93.4,130.1,43.2,0.61,1.67,2.8,3.79
44,Elite,0.135,53.6,58.6,100.1,132.2,46.3,0.62,1.52,2.8,3.79
45,Elite,0.178,43.9,56.3,99.3,120.4,48.9,0.63,1.5,2.8,3.81
46,Elite,0.149,49.9,60.2,95.4,137.4,46.2,0.57,1.69,2.8,3.81
47,Elite,0.168,44.7,62.7,91.7,138.6,42.3,0.57,1.7,2.8,3.77
48,Elite,0.153,47.8,57.2,100.1,131.3,40.2,0.56,1.5,2.8,3.79
49,Elite,0.123,48.2,61.2,97.8,133.9,48.7,0.61,1.6,2.8,3.84
50,Elite,0.158,42.8,55.9,101.6,138.4,40.2,0.62,1.5,2.93,3.83
51,Elite,0.177,54.5,55.5,97.8,134.1,48.7,0.55,1.5,2.8,3.8
52,Elite,0.156,51.6,60.3,102.8,123.1,45.3,0.64,1.64,2.8,3.75
53,Elite,0.169,54.1,60.4,98.3,131.5,49.4,0.56,1.5,2.8,3.78
54,Elite,0.173,53.4,61.4,98.4,132.1,48.0,0.6,1.5,2.8,3.76
55,Elite,0.134,49.0,62.3,103.1,128.5,50.0,0.62,1.71,2.8,3.83
56,Elite,0.133,53.8,64.8,96.1,134.7,43.5,0.64,1.5,2.92,3.73
57,Elite,0.157,41.3,60.2,92.0,138.7,47.7,0.62,1.62,2.8,3.84
58,Elite,0.145,42.9,58.2,90.4,138.5,44.0,0.63,1.5,3.01,3.83
59,Elite,0.17,40.7,63.0,101.3,129.0,44.8,0.58,1.74,2.8,3.81
60,Elite,0.174,44.9,57.7,99.3,122.3,46.3,0.63,1.5,2.8,3.79
61,Elite,0.141,45.8,59.4,100.6,139.7,48.7,0.56,1.63,2.93,3.88
62,Elite,0.134,44.1,55.8,93.2,136.8,49.8,0.64,1.5,2.97,3.88
63,Elite,0.167,52.4,55.3,92.0,122.5,47.7,0.6,1.72,2.8,3.77
64,Elite,0.136,45.4,64.6,90.2,138.4,44.2,0.63,1.5,2.85,3.78
65,Elite,0.169,44.2,63.4,95.3,137.4,44.2,0.6,1.5,2.8,3.78
66,Elite,0.145,48.1,62.0,98.8,130.4,47.4,0.61,1.5,2.95,3.8
67,Elite,0.16,42.1,59.1,95.9,131.8,42.4,0.6,1.5,2.94,3.8
68,Elite,0.126,52.0,56.7,96.6,128.0,41.1,0.62,1.5,2.8,3.77
69,Elite,0.157,41.1,56.6,103.6,121.1,43.5,0.56,1.5,2.8,3.84
70,Elite,0.147,54.8,57.5,95.2,126.7,42.9,0.56,1.5,2.8,3.76
71,Elite,0.155,51.6,60.5,97.7,136.1,43.0,0.57,1.52,2.81,3.77
72,Elite,0.13,43.0,62.1,101.8,120.1,42.3,0.57,1.5,2.8,3.81
73,Elite,0.164,40.1,61.6,95.9,126.7,40.4,0.64,1.5,2.8,3.76
74,Elite,0.172,52.2,57.8,99.3,128.0,40.2,0.57,1.5,2.8,3.73
75,Elite,0.133,50.6,64.5,102.9,130.7,49.9,0.65,1.5,2.8,3.8
76,Elite,0.126,50.9,62.4,104.2,138.4,44.3,0.58,1.52,2.8,3.82
77,Elite,0.121,51.6,60.5,92.2,126.9,43.8,0.57,1.62,2.8,3.78
78,Elite,0.159,41.1,61.1,103.9,126.9,46.8,0.63,1.5,2.89,3.83
79,Elite,0.156,45.4,59.2,97.4,134.8,42.2,0.62,1.5,2.8,3.79
80,Elite,0.153,41.7,57.5,93.9,129.0,49.5,0.6,1.5,2.95,3.86
81,Elite,0.134,52.9,58.6,96.9,124.5,47.9,0.61,1.5,2.8,3.79
82,Elite,0.143,49.3,62.6,104.7,129.0,40.9,0.62,1.5,2.83,3.75
83,Elite,0.156,45.0,55.1,97.4,122.8,44.2,0.57,1.53,2.8,3.82
84,Elite,0.15,41.0,56.2,94.9,123.5,48.8,0.65,1.5,2.8,3.85
85,Elite,0.179,44.7,55.5,99.5,130.0,49.4,0.65,1.5,2.92,3.83
